"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"ASAH1",4.16772365158758,7.356542925927,7.95522121024166,4.84009107898427,8.31673644672232,9.13506515163738,8.39172885598768,8.99806436604445,4.00263873763337,8.66978240897906,8.14315937915112,8.36582257291396,8.45516060274492,8.27282381277659,6.36838970278588,5.71985349062171,4.91194637140796,8.10853805177826,6.6169920278123,6.71130489910505
"NFKBIB",3.78327400222504,3.6787667939119,3.38172277513055,3.11392364726441,4.37943773699399,4.34847533819055,3.49942831576498,3.05674464392582,3.92354694870175,2.71593425616053,3.55074535597393,3.56916542536558,3.30053335538243,3.86733052395827,3.81486766006759,3.5719350884007,3.81344843665144,4.11041586932982,5.4308961297799,5.42323447492102
"PLEKHJ1",4.97802049824553,5.70410280255687,5.44088851065028,5.21169624539977,5.68941999727558,5.66816148054942,4.54090271537758,5.02037429419351,5.62948637130567,4.95873015860762,4.88923248496655,5.27368307418745,6.03623824751431,5.80229902187264,5.24385842579021,4.71152699678818,5.32338326589112,5.02088666429045,6.30321661503392,6.22058296534397
"OAZ1",9.47215011734114,9.80371754871055,9.82196943160768,10.0948261938595,9.96890892518225,10.3842917796553,9.85453171834278,9.31349232663858,10.393278024173,9.44616685546234,9.80436897569264,9.89317205570116,10.3301465219641,9.82534908262151,10.0738998499899,9.89992900428814,9.82168951617086,9.84003844327095,9.70120724438321,9.6651310238091
"SYDE1",5.7385877594567,3.99919548426925,3.74881550191106,3.96968638768179,4.26347841114283,4.48894586039448,4.31070434952492,4.72814498753758,5.40811885362678,4.10070358244526,3.44272841468399,3.69365446135316,2.78210015972495,3.48408293208201,4.77790267766766,3.7285755952007,5.25206953184862,4.62165671351683,5.77921564942276,5.60632264295731
"TNKS2",4.13797406938028,4.64675672300251,4.30251258612802,4.29143197042337,4.35786649483455,3.49802086056411,4.04210161634353,4.2047691116998,4.15858628490686,4.66847530427988,4.9206158517282,4.86858907092088,4.70978667493126,4.71018863622756,4.27916823701232,4.42158199388162,4.06924692307037,4.24808676759282,5.91312503855,5.92711655933273
"DKK1",7.42091739260161,-1.40495644423627,0.0434583328669034,-3.32192809488736,2.31373666864788,4.52961337893742,4.93298834290421,-3.32192809488736,8.51700868613054,1.8277102194144,0.344705792818275,-0.262907863556247,0.724215596675242,-3.32192809488736,7.21649082625319,5.69019998225203,-0.43088097618767,5.53154043165096,-3.32192809488736,-2.88947249033654
"SH2B3",5.50035755297809,5.50801802858151,5.7779722896043,5.44357741911991,4.87677804507334,6.28740333869343,7.08677886335148,3.64297570302485,4.89131164666442,2.75558788267707,7.72656870321664,7.4516810938473,5.71769401427427,5.17984326103388,7.24327800758026,6.29164179286352,5.62249883552995,5.94173974893414,4.29627728428579,4.05097318105597
"PERP",4.29767639604913,3.82639205844227,3.18208995403662,5.16680123366499,6.17715361212847,5.50727314746751,5.30631475924609,4.45612457756254,4.54096723922758,3.1054614967506,4.79942613862453,4.87750035630286,4.71526527737833,4.26334195937439,5.48375954554453,7.6578044203001,3.83344912959576,5.08084595270856,0.653020952851092,0.286347991406091
"AMOTL2",5.75527640261565,3.31003262986657,2.29918443617713,6.05877778417035,0.534596419832267,3.40346072889913,2.87086275438842,2.99514688178733,6.62739092604231,4.51532892086533,2.20449460165682,2.04198777347744,3.12561593093156,3.10047072158151,6.20690004458937,4.30781410229196,3.965767259567,5.08148932689385,5.04494532048948,4.70386870445731
"IVNS1ABP",5.58810738411604,8.17115454837216,8.490044587548,5.65845811353172,6.82120883619728,7.20674417074277,6.75002117377727,8.81217209713816,5.50025543688365,6.08306663850369,7.10865903142639,7.19351695747723,8.44395031964146,8.67560662651569,5.69020585123477,5.05468806108428,6.46113539676899,6.29502496770035,6.73153810829351,6.45013923394056
"CD3EAP",4.37233041183318,4.15896352096598,4.24355522117817,3.21607582519378,3.9508507221008,3.76431250368482,3.74488783513319,3.74512504620298,4.13800145136327,3.03734251292542,2.99718481188054,3.37643702911713,3.87654045298612,3.13570786354746,4.63884977354284,2.82994930098784,3.92013864750894,4.15768557045668,4.39367368770896,4.48449353774698
"CTGF",5.37716196111792,2.4458816411034,1.36596173059127,5.89575134100268,3.59652505683457,4.53956676941937,2.34564988846034,-2.23733028158321,8.33001653546877,4.25989441408872,3.53198213080828,2.32255217858039,5.26212782465601,1.68496823369435,9.81531917854613,4.27454794832893,3.36421660848636,4.84926648506662,4.45640899334667,4.63776261158146
"NEK6",5.04921610192488,6.17103441251489,5.4663537621341,6.09728229167389,5.13740377577596,4.64432010694523,6.06987423043912,5.71401903956628,5.56927012584217,5.97420107091482,5.13489127290781,5.69390684182358,5.82392475386218,5.31041082305011,5.92894854786357,5.52464482149797,5.1643618919236,5.4828817456474,6.07250021883612,5.96230612908158
