"","Mm_DMSO","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"ZFYVE1",3.46303004062691,4.07275310440564,3.50623152701404,3.82129908473031
"PLIN4",-0.918346634575236,0.900864353746403,-1.37336961438559,0.482110399732394
"WDR81",2.41792345847846,2.92300681509849,2.49448480688242,2.80160518048559
"GABARAP",7.94446715934732,8.42104005901225,8.22413833550769,8.57418340232122
"KIF5B",6.41111613505346,6.07588369951993,6.20138962641032,5.98541071508988
"FRMD3",2.11889181428087,1.25625857552224,1.53641518107949,0.688101745170643
"RND1",3.08586030033772,2.38943738821393,3.19055124901119,2.57741117465865
"GXYLT2",4.82193084619283,4.27503815820047,4.51135656471993,4.0984314050715
"HAP1",4.20925005010691,4.76624379597595,4.16945427320139,4.59510053389007
"DPP7",4.97474014876529,5.38446425811994,5.71589322665862,5.77839350945844
"LRRC75B",1.81457698602361,2.37985350572521,1.35060841264137,2.17616465509838
"MROH1",4.41320461535272,4.98966866594029,4.49992610108437,4.90382802481127
"NQO1",2.76189538049702,3.7468521164055,2.38964807417205,3.71843149131759
"RPS17",4.3165786523418,4.80380064602799,4.98711312797049,5.14775336651008
"SNN",3.31980229265244,3.93206673943133,3.34208517183436,3.81684143392961
"FAM174B",4.84277309370099,5.26031650134024,6.05264188668405,6.04810359198361
"IFITM1",7.10741562412926,7.84752367867087,7.18442252389659,7.86480820244936
"SLC35F1",3.4574108746706,2.62819806220964,2.34474734387258,1.5490002342779
"TECPR1",6.45652274809567,6.82463031427683,6.30748886407382,6.54616426184093
"VGLL3",5.82234110746873,4.96952142931166,4.81433034780184,4.54290501719926
"CPEB1",4.3165786523418,4.80380064602799,4.98711312797049,5.14775336651008
"SRXN1",5.60297781540981,6.25500184659911,5.71810277928543,6.26337429221018
"NUDT18",2.71802911103073,3.24666577951701,3.10720165672991,3.15080530442842
