symbol	FemxI.DMSO	FemxI.G007.LK	FemxV.DMSO	FemxV.G007.LK	MeWo.DMSO	MeWo.G007.LK	Skmel28.DMSO	Skmel28.G007.LK	WM115.DMSO	WM115.G007.LK	WM1341.DMSO	WM1341.G007.LK	WM1382.DMSO	WM1382.G007.LK	WM239.DMSO	WM239.G007.LK	WM35.DMSO	WM35.G007.LK	A375.DMSO	A375.G007.LK	WM1366.DMSO	WM1366.G007.LK	WM793.DMSO	WM793.G007.LK	WM852.DMSO	WM852.G007.LK
ABCF1	919.8125582	1974.360693	1532.375233	1517.599035	948.8871944	1161.149202	41.49596742	53.53251545	30.44527858	27.73328894	2269.005333	1029.534246	73.26427577	66.34959248	104.7337289	84.49475589	3102.023984	2614.821121	484.4691389	635.6091555	997.1143744	840.6203741	570.8345977	750.1191937	74.25386324	65.79161884
ABCF1	198.4112597	422.2976282	207.100833	236.3311638	269.6474505	310.9195134	2656.112945	1737.254443	1596.785514	1948.626671	433.4894055	223.0916748	3048.380084	3153.21888	2510.849033	2202.53228	396.616515	469.0556811	1016.400157	1533.456567	232.1076767	377.2316321	180.4570357	130.949268	1938.431674	1234.279278
ABCF1	929.4923901	1942.575075	1535.463223	1505.82811	930.0709576	1170.511702	34.19998511	46.36788037	30.44527858	27.73328894	2214.312567	1042.457701	73.26427577	66.34959357	78.69883997	73.33168584	3120.076757	2693.063265	484.8595436	649.5790279	980.3107169	845.49446	552.3777853	755.1694001	74.27693494	55.28908596
ABCF2	1094.003867	2112.528675	2300.992382	2218.033853	841.5184076	1534.648779	485.3448105	553.5354085	983.5147296	1214.593859	3351.710327	1509.006732	650.0716308	758.307255	1490.858697	1915.811231	2694.096834	2538.887003	585.4903249	780.769939	1049.58633	848.3052709	848.1056167	1031.158157	1150.177102	1217.406464
ABCF2	2933.992529	6226.833979	5743.869667	6133.84022	2956.006878	3318.164413	2632.191947	2083.013546	4735.250278	5248.342076	8075.963352	3709.770544	2191.521602	1966.588458	6629.943648	6156.665128	8154.740262	7230.870495	3040.854289	4425.473549	3696.084908	3080.036332	3156.833893	3950.634382	3488.161015	3537.225819
ABCF3	1129	2524	2207	2231	1553	2032	4283	3869	2133	2435	2883	1309	2243	2269	2659	2421	4158	3686	1095	1638	1423	1359	1378	1897	2162	2371
ABCG1	9.117268539	10.19040887	11.06654243	7.627052088	7.505093991	5.242182752	7.244594853	4	8.706635864	9.555904004	12.08200991	5.724645286	14.84303746	16.16773677	2.10088566	8.639277673	9.331605765	11.92615859	33.0202135	47.71691566	4.968246764	2.859926136	6.031155153	2.182193766	650.0630892	693.8109811
ABCG2	91	256	263	306	115	172	105	122	375	400	299	136	364	310	924	960	343	288	265	367	105	128	143	164	3489	3591
ABHD10	1217	3030	1870	2167	1579	2261	2939	2762	1413	1705	1976	1038	2316	2373	2096	1980	3769	3620	1337	2073	1625	1521	448	679	1095	1095
ABHD11	771.2167439	1569.116876	1062.197613	1071.984285	701.3790628	830.2943085	588.727544	522.6403753	511.7648572	607.3555204	938.5705574	428.3482531	1444.757408	1455.552841	1366.562247	1176.541971	504.6678227	496.3431915	437.3401455	680.8827991	368.7350907	374.3349205	749.9220725	851.6921534	766.4308564	750.1810943
