"","Mm_DMSO","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"ATP6V1G1",8.67471412614601,8.85499121615406,9.14785070261337,9.4220550773868
"FAM8A1",4.19189556938163,4.29469933576213,4.243636102726,4.30057500855342
"PTPRF",-1.93023177002537,-1.97378762217612,-1.65752227843461,-1.86290700557662
"ZNF697",1.68805099636605,1.68845347803082,1.78099456890478,1.65547630362936
"EPHX1",6.90452084103223,7.2745248876111,7.52157952788171,7.43213505243414
"SLC20A1",5.64608803766552,5.50738111452766,5.62869254545478,5.4793206473716
"PLIN2",6.35966100420841,6.76306074013125,6.71055640909257,6.87092344742746
"GSTO1",7.21738826135773,7.35676893592877,7.22836790075457,7.34821451212234
"RGS10",4.35942329489467,4.59444555929535,4.49375573452743,4.69291140929594
"JPH2",1.62333313833247,1.97297658788246,1.66562074357992,1.75233453657189
"LATS2",4.13375486152339,3.77420797850436,3.88126558965875,3.69875631898137
"CRIM1",4.14994551641951,3.86099029672943,4.265951219169,3.65422038915768
"TMEM251",3.79326165402215,4.02555252780671,3.89278411783603,4.13065868949896
"MMP14",6.59672411007967,6.74685107625551,6.29589861744632,6.21123504952813
"B4GALT5",3.96317942249751,4.3689415079359,3.97504602474816,4.13536996576533
"AGL",4.30517720825081,4.54227795083486,4.55547197147361,4.56030284022647
"TGFBR2",4.00920791758217,3.96399586634006,3.86694571931503,3.62582522242235
"HPS3",4.45824962376679,4.79227134377158,5.17803147676698,5.18140019630302
"CAMLG",4.40912408584504,4.49812262644354,4.46686546117062,4.55280457194473
"HEY1",-1.46955138173776,-1.54744345730883,-1.28435535126533,-1.60926415821006
"DLC1",3.05629476594538,2.86488437586978,2.92222855089968,2.6251951882908
"SPTSSA",6.17646330545307,6.2775444024716,6.14424882770219,6.45338593631712
"KRT80",3.70726837899443,3.61284164876766,3.63773901132996,3.54768610377308
"MGAT5B",-3.32192809488736,-3.32192809488736,-2.76179721447696,-3.32192809488736
"LMBRD1",5.55091755732062,5.63760068870484,5.53871056406625,5.52426244776239
"DTYMK",7.15229443109649,7.04138643357663,7.0141823464376,7.04159188455748
"B3GNT2",3.50323999818288,3.8137584826381,3.64646218177848,3.88987532445272
"THOP1",5.07437986471435,4.92890734476027,5.06672291615315,4.87419068909529
"NBEA",2.83697385040782,2.95223074496511,2.74136332172765,2.64345266053439
"HRAS",6.39137190562486,6.3158336842082,6.53712580524301,6.45192971104577
"FOSL1",4.80189126576144,4.54791214551543,4.89264864222211,4.64299674016058
"FZD2",2.5193235499363,2.67341659564238,2.4856788034249,2.159084510272
"NQO1",2.76189538049702,3.7468521164055,2.38964807417205,3.71843149131759
"KIRREL1",5.3617499459544,5.19035266025468,4.97000958969449,4.77760789811699
"GNB1L",3.55895926392241,3.28011876724549,3.43678972847061,3.40545176021528
"LONP1",7.53633288952983,7.45942524053045,7.64940886576172,7.37341848839175
"SCN8A",4.59861278905589,4.81043986336212,5.39246309187891,5.3070330508139
"ANXA4",6.09685100451774,6.33212379973731,6.188235286526,6.38774748628906
"C1orf122",5.25444384350067,5.20176373232039,5.24003704216778,5.3864430765882
"SMG5",5.97474517098303,5.8695321475773,5.93020334626677,5.87060494553106
"TGM2",2.99507587849136,3.18559688120393,3.25645570675883,3.12403183992852
"BMPR2",3.27551883607598,3.29291343777774,3.2981428834294,3.0355806382625
"TAX1BP3",6.1088935156345,6.28094941841682,5.9791299239386,6.1507200036825
"CCPG1",3.77031794112787,3.9587296231152,3.69835677784501,3.64391598912741
"NOL12",6.01138073450011,5.90947633482309,6.00572137482863,5.97819093678702
"SYNRG",3.70252226318263,3.87343874800852,3.74516722859685,3.74926829302375
