"","Mm_DMSO","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"NDUFA4",10.1438533135958,10.1486673415996,10.1952952702793,10.4672963540896
"S100A4",11.1948579536171,11.2659969007966,11.1489380233322,11.4091122369952
"RPS26",10.8671634942439,10.8102138000883,10.8458912154541,10.793950784388
"RPL37A",10.5695540037345,10.5458152292016,10.6056315707612,10.6413225690732
"S100A6",10.955277615287,10.8910226972982,10.9439240081331,11.0231629195981
"MT-ND6",10.5428790850587,10.6727258049373,10.6483448910279,10.9477931141999
"MT-CO2",12.770337833398,12.5279123768809,12.5919148107609,12.967403377554
"MT-CYB",12.3280064670353,12.5640644957995,12.4109141211049,12.7129577330252
"MT-ND2",11.1146463170486,11.2173862139214,11.1312194301782,11.4324833508435
"MT-ND5",10.1903184950192,10.3396202714126,10.2501295990763,10.6030627709327
"MT-CO1",12.5280178530537,12.6998640800167,12.6950941425748,12.9418502612017
"MT-ND4",11.2090130131973,11.3301685311464,11.2301400551163,11.522164045627
"MT-ND1",12.0383365140787,12.1700750968501,12.174529186359,12.3850289977242
"MT-ATP6",12.632197434607,12.2988775663603,12.1941350357648,12.6591151107546
"MT-CO3",12.2854827395421,12.3985664985712,12.3569167863724,12.6414385291852
"RACK1",10.7701822085111,10.6959220577784,10.8733732684819,10.9287279080208
"MT1H",10.1068755304884,10.4385227144291,9.8871608303693,10.2531434898486
"MT-ND4L",11.7675925077898,11.8076740129689,11.7663637189874,12.1247700287843
"UBA52",11.2304544800522,11.2728583355106,11.2370550907971,11.2966871791461
"POTEJ",10.8450469133494,10.7204898203431,10.8612509416723,10.6998705388446
"MT-ATP8",13.9273384641541,13.9481859415409,13.8229656069801,14.1135717097426
"RPL41",12.0843385395784,12.0709270455587,12.0991843242684,12.2590902284983
"RPS28",10.5401854661843,10.5915364060704,10.5389701467679,10.6641333115212
"MIF",10.9698676424206,11.0134706296055,10.8797130621924,10.9524377222418
"RPL36A",9.68721796785487,9.672780353584,9.66597875327115,9.73899648341225
"MT1HL1",10.1068755304884,10.4385227144291,9.8871608303693,10.2531434898486
"NACA2",10.2043787362719,10.1660338879152,10.2587637938701,10.3624141799766
"EIF5AL1",10.6115796905239,10.3620376156141,10.5596064235293,10.4298257099919
"AP000721.1",9.5989475714183,9.62438945547886,9.494474144758,9.60762574607249
