"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO"
"COL1A1",1.02654524202517,1.3829508143002,1.80964475465662,6.29167031311214,-0.600348759963065,-2.57861438203878,-1.94093089045796,-1.09893758801327,4.28066779058932,0.973045203543439,0.10797039360057,-1.28444721858021,-3.00419108514082,-0.717367330886704,1.03789815294881,0.477783766348578,0.467485549447928,-1.62115877098029,4.26673995742701
"ST3GAL4",7.51899895501629,6.89103597837285,6.762439440449,4.73112506904168,7.24740374798602,7.24876181340533,8.46198390842101,8.75729952495077,3.75279248539369,6.80169384212868,8.15193576312085,8.11015220821182,9.02335111919827,8.19136009860822,8.14949389867716,5.4368145089835,7.84996390560464,7.78894114411978,5.62077824545105
"CCND1",7.13503285632518,8.04841901177961,7.87428266093686,6.73175477574233,5.72174201198006,8.46365927826068,8.02510034961664,8.05361372422898,6.99687312862255,9.31112936150836,8.81273073674696,8.56125057888036,6.92588858697014,6.99443009560501,9.74742991049129,7.33116294983229,7.6923999395923,6.27517876760373,7.61617468971238
"GTF2H1",5.15562640739601,5.5551451499999,5.17349867414623,5.36870229051468,5.96538499527695,6.29194184491743,6.18082093367972,5.90005047885516,5.50970106753548,5.5941704558436,5.87421691957151,5.57452757900037,6.37925467947654,5.1385938732217,5.71309570140695,4.84732977719275,5.98011187848853,5.39888464166841,7.31464625967266
"NOP2",6.43354079497674,5.83514463959403,5.87176942319614,5.05108864721961,4.90896583485909,5.26601855354293,5.72170201100801,6.20546992736697,6.37320675748125,5.79166259417803,5.65306810825319,4.96479915403215,5.57938556814466,5.48406571561847,5.52013625149107,5.00490978233117,5.64664764906053,4.50537982335683,6.64015780428357
"TFEB",1.01670322467092,1.03895278729634,2.62764090519245,1.51913557302405,2.73503102774166,0.940861659300661,1.06307108863912,-0.336227541599007,1.94582477639619,1.59426360407031,0.886588213540332,0.613633571474136,1.01175043391324,2.91692093431049,1.26011103535943,1.61366289408751,2.42938128148428,1.26856813206357,3.76444837696724
"TARS",7.79919852380025,6.66476724895252,7.2470756919807,7.89464814188112,7.44906325642084,6.96273944059092,6.09691471142289,7.37079741019668,8.61283089426203,7.52570159478953,6.87436236986389,6.31186513634767,8.08308835577456,7.31019203556136,6.61408903210478,7.14629437307034,7.39715452711988,6.93739113448836,7.36748058940836
"RAD50",4.64935642629212,4.69741336552382,4.84854875830588,5.04907581984567,3.81114138012864,4.41856765677604,3.74106832896632,3.83900725230275,4.54057360860892,4.04749552698437,4.58910853850185,4.06770413816964,5.71088302045882,5.29546211715574,4.46351736362777,5.35770268323521,4.14868156338496,3.9331534959252,4.72742191625864
"DPYSL3",5.49997936237707,5.5054104874115,5.46019013830576,6.17186532615742,4.98533268382918,3.22961719217649,5.10703092868747,-0.325051355861478,4.6678292828319,5.03802468169172,4.87700964276121,5.51559591509587,-1.39622110630763,2.71618357070609,4.71607420850223,5.53706115819345,4.39361223722021,3.70724413569212,5.25103932463084
"IL1RL1",2.78658128465946,-2.35098152194521,-1.83068092709847,-1.44446196995969,-1.17545352943037,-0.766098029804263,-3.10991917382611,-1.58785995448945,-1.10817598684442,-2.36047549604657,-2.74534986256642,-2.4297759092364,-1.52709314595025,-2.10210224460555,0.782508305178128,-0.655408105974912,-1.7782203917935,-1.36199272113303,3.30285836918404
"RND3",5.35402791163625,4.93959200354246,4.89194173507991,5.91301264943666,5.44014502083896,5.99677589954062,7.26011054601187,6.35227337195832,6.84471005935235,6.02135423448778,6.04132148888858,7.12241902885937,4.31329538134356,4.81662131164967,8.12239223080775,7.05418027337561,5.89920721706464,6.33670474019369,2.92452853129499
"SRM",7.67655364328084,7.06722611215771,7.25504824282089,6.23233381019748,7.9959922934428,8.63064430231012,7.2991935891739,6.75130208710394,7.46367920716684,7.19078781396817,7.21855946257153,7.46065459838882,6.99434958134971,7.24428421468407,7.10130091283321,6.48911698496026,7.32078515833074,7.69791610468232,7.83118615595898
