"","Hs_A375","Hs_FemxI","Hs_FemxV","Hs_LOX","Hs_MeWo","Hs_Skmel28","Hs_WM115","Hs_WM1341","Hs_WM1366","Hs_WM1382","Hs_WM239","Hs_WM266","Hs_WM35","Hs_WM45.1","Hs_WM793","Hs_WM852","Hs_WM9","Hs_WM983","Mm_G007LK_vs_DMSO","Mm_WNT_G007LK_vs_WNT"
"TRIP6",0.0386401057118274,-0.678635417333189,-0.272965969411688,-0.149061993096691,-0.361045379493658,-0.584575495937674,-0.0851284489170194,-0.262953862439942,-0.228078645319045,-0.258492318714851,-0.428467685337709,0.100172211780315,-0.356223314052099,-0.210274086200678,-0.344644583625799,-0.0725048200555288,-0.050370707886538,-0.520802359859312,-0.0800066493651972,-0.0693281157857587
"ZDHHC8",-0.477971010044688,-0.138041336573049,-0.178849400159792,-0.0524368663207093,-0.206262660342227,-0.189433050658245,-0.0375028341187855,-0.0722845097398956,-0.179978830456152,-0.0587269679684123,-0.20015034325972,-0.171767221352977,-0.327966153779577,-0.23598493796056,-0.219055627735847,-0.18450023524835,-0.399967473251544,-0.0547625001152647,0.0446400027159316,-0.196282573807343
"TRIOBP",-0.173046125263701,-0.0700963518968761,-0.0712836095399197,-0.121866075628191,-0.233922815778821,-0.0948172275568676,-0.242394044488569,-0.227506839542582,0.275707885058244,-0.127803011043486,-0.287006672998239,-0.0570021554112257,-0.105000849539413,-0.0323819381576494,-0.249669438488865,-0.14579738659833,-0.176867591373809,-0.155024176498118,0.0982160405046754,0.0137960144128193
"CENPM",0.0454478286607516,-0.130115691189002,-0.0923264885011945,-0.309392143448548,-0.152918828506581,-0.306100256021575,-0.269660100446321,-0.0336885702245817,0.0661558866050765,-0.135566225271612,0.0258812433046347,-0.181027811370507,-0.196215908742165,-0.0996354018783558,-0.599491675220926,-0.156343002778166,-0.407365593227871,-0.168755832907579,-0.134834316713656,0.0114779267026264
"CDK16",-0.0623217894145726,-0.0954144522500864,-0.261243614421745,0.125448858987882,-0.176043675355043,-0.189566432322317,-0.231601744582727,0.0548313746044399,-0.0737553583812571,-0.15026607863903,-0.155369794049784,-0.0732636935884958,-0.111499302470846,-0.0356148135425649,-0.264905367833684,-0.123767405983588,-0.182095498452817,-0.318619464811908,-0.026313065455872,-0.0741624106466583
"EHD4",-0.0169149156391223,-0.204824037345972,-0.0774278767080417,-0.210536904504907,-0.356327549799084,-0.252737046539456,-0.218129493680505,-0.315131977374596,-0.165056982661146,-0.105711187911933,-0.122563592524924,-0.124734807648201,-0.181479430073303,0.0289608918642198,-0.510499828973183,-0.203994056974091,0.0288379580614462,-0.451368468032948,-0.151765918341573,-0.0486323416542999
"ASAH1",0.0341575897271298,0.182173810464273,0.0998415113743332,0.117563485031459,0.125614606371376,0.207464702515985,0.224857162214535,0.155601917011913,0.306489532090541,0.216893689786333,0.277759364552312,0.037223676236374,0.0984441985800945,0.12874308789864,0.104257568294772,-0.05567923154583,0.157722868503661,0.68207879492773,0.188286413725359,0.162362269577371
"NFKBIB",-0.139207973415187,-0.211890964514173,-0.152869831788368,0.117220351969007,-0.355507522500274,-0.271060624819355,0.00811466813587837,-0.215466067617244,-0.488526982459544,0.0164304225409731,-0.328306038318637,-0.0441118321246202,-0.130185460641531,-0.0573369011541158,-0.175855181533427,-0.062300445450033,-0.186032238046512,-0.0564542222465267,-0.156433229479261,-0.139547243029779
"PLEKHJ1",0.0486244799628692,-0.127012944966665,-0.0122479953762358,-0.136794979715796,-0.278099918204342,-0.309555589604455,-0.0606531216957752,-0.19915188623328,-0.0394719398631606,-0.00578982574177428,-0.219921914564511,0.137398831439701,-0.270381641030178,-0.223197009437398,-0.252615722229384,-0.274127929216775,-0.0791009023480141,-0.324963855343711,-0.0747136787863106,0.090383218872155
"OAZ1",0.00762607008937812,-0.157270149264798,-0.0114246704638154,-0.0823971484764012,-0.348498686193769,-0.406711818073022,-0.0904736852217652,-0.112425534453591,-0.137829274253434,-0.0662426064752224,-0.145936850412631,-0.0513984605365317,-0.211606877941804,-0.12090138306756,-0.199309159050956,-0.184517402410855,-0.243734110039996,-0.144489862900472,-0.0578496830752202,0.0864135824784128
"SYDE1",-0.0680353065219781,-0.37747151106919,-0.11671002909285,-0.131270959244152,-0.321917271992263,-0.379958645652517,-0.207728016634072,-0.226030268750682,-0.211506486974461,-0.235954768788065,-0.398489576990519,-0.0848815827363476,-0.213647885535265,-0.0241381527792364,-0.469353456570173,-0.228206975551176,-0.190036228476383,-0.529587163887976,-0.165283571836116,-0.186914816022062
"TNKS2",-0.265959223187731,0.104334341768892,0.0538015084399308,0.0821306934614181,0.243374904027428,0.461093822824675,0.196904154224762,0.079231832404137,0.0908838461532565,0.112765754827735,0.257121198789983,0.0538543696564601,0.226941876076974,-0.00965739515865237,0.239350430404401,0.141765057896656,0.0674964555213633,0.287907287038255,-0.0748916294415471,-0.0480974614564015
