"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"TRPM1",-3.12135542345598,5.84929932821087,6.14686481279381,-3.32192809488736,6.56731279941653,6.84114648259734,-1.39384437928995,6.2651577537962,-3.20243471033576,6.42798438683336,4.88542128747488,5.64649173455099,6.96274130748639,2.52088937739759,-3.32192809488736,-3.32192809488736,-3.32192809488736,0.116567751193095,6.47330584956526,9.32558851359639
"MYC",3.49614907756807,7.3144498322136,7.51327090296812,7.18733819842119,7.33295475018502,6.77562296831213,6.3182285339103,6.29827609183772,6.33524847772885,5.89309743285288,6.00164048614976,6.84962957236703,7.69101039410222,7.41800279754444,4.90092801984106,6.05002270548878,1.82825682063298,5.58245920719261,6.09114126238039,5.48311214794429
"FZD7",2.9576318377302,3.67722059579735,3.68600563626971,3.17836469003797,2.96838798649916,4.03959248828455,5.42986112600993,3.88788812243918,3.62354025481186,3.25370825857554,5.13908702399504,4.57767489076034,5.24911038150814,3.86708190384979,4.22042756423288,5.79386037591677,4.80602279260288,3.64021409308529,4.418023152744,4.29038061696155
"KIT",-2.75958933720759,-0.963146257673293,-1.50154049318468,-3.32192809488736,4.57837401533487,-2.74979395714357,-2.17986060687286,-2.79507450306591,1.10648877677933,8.57740761868519,-2.78785115200466,-3.23629809644469,-2.73713094955721,4.4071722021699,-1.68323650844805,-0.645384327954473,-3.32192809488736,-3.03727785229118,0.577693165153366,1.4455868894296
"TGFA",5.9505579059769,-2.7700626509304,-2.95061437100725,-3.32192809488736,-1.32976865758132,1.71465975541469,-1.07540835238549,-2.69753811056829,-0.721309692264924,1.4395406788096,5.8077531601052,2.55763277560307,1.70936290796013,-0.647247393234468,2.22811968875807,-2.13516882381032,5.33301946177082,3.14222820876385,0.380373082573549,0.239042209518528
"CITED2",4.77186093633562,2.99677017848259,3.15885013053209,4.74368024700063,4.13402927608356,4.57068990000976,3.62928812714608,3.81970253665342,7.37088589246038,5.8445408627284,4.15364209162024,3.41578758345007,4.26189494584808,4.11230013435831,5.3167879767295,6.51358929205778,4.17353459234668,4.03127386838037,6.88312296520197,6.45147212002856
"AXIN2",-1.76959527912498,-1.91627482191101,-2.91530379732738,-0.161045929687995,1.55535913318402,1.52142657230907,1.19200610461788,-2.30133504062463,0.341289230947424,1.41274231785437,2.61986106187976,0.873519442216807,0.58045657564872,1.99162523160666,1.01670554832082,0.0494673237695669,-1.15305837605665,-0.430779009875917,2.22242739556901,4.31901982972273
"MITF",4.1704436152246,7.78780410337989,8.12523038045937,0.42029695380655,7.16576925744103,7.48906209324557,7.41927424167731,8.29005631653854,3.76365406455712,7.28174942275929,7.3003333778458,7.84987296780244,8.50273394221598,7.84178873665963,2.54205082537063,3.05728320228961,3.54463827612429,6.49018500711085,7.43201469727856,7.77959137932142
"MME",1.06118042413973,6.59549713309659,5.96733272292401,7.6069948747926,8.01673047060383,7.41723115496825,1.46156805877392,6.68964684118888,7.33486059172492,4.64274302390623,3.02696244038722,-1.03474715963182,0.118139672382631,1.97274248573264,1.42608371160126,2.2400231580367,-1.72251932135413,5.88111282121256,-0.455689091078168,-0.817306434897571
"L1CAM",6.37566029737273,7.52568357414572,7.37846875937461,-0.374426005150667,8.7594288886662,6.1086103619536,4.33475649396245,8.36714660264433,3.45326670626682,3.10403257515035,8.17396759768259,7.81214803433322,6.05343396407033,8.37193044545093,7.584562232761,5.69212278601368,5.16676772405946,7.08922343454065,2.60234374630447,1.85655763197733
