"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"GPR137B",3.77771190183171,5.99428105013722,6.01612244105569,3.44448826776316,7.17102071014185,7.88766999870719,6.56807923489023,5.72634329751772,2.66046802406056,5.52624316597039,6.6578980119124,5.95589336680053,7.30827372533884,6.23694512863814,4.75817808280383,3.03826477838092,4.80804509001534,5.74210782485302,7.69631788151045,8.05999508438577
"GSTP1",9.47405295078936,10.2142654499087,9.94071594384264,8.98825313442418,9.94261114425664,10.0834687707356,8.71423515311081,7.22597716055501,8.59349528555927,9.83966415690868,9.21016336234405,8.63263396464047,9.12251253278143,9.15207843716771,9.35007704915296,8.45893678846613,9.36063483018306,9.25160117631967,5.4157830749605,5.70069193768822
"BLVRB",4.80151558898796,6.08770494756598,5.85574966801411,6.41574537556744,6.70029655313653,6.88799296175071,5.92639175497417,6.74329304609132,6.19232220455347,6.87147500051694,6.40027895835517,6.35312514352188,6.91240001007684,7.16144592345827,5.51610870521494,6.23771391911372,5.2712880798869,6.21978972324114,6.02938374526303,6.1993262835127
"VARS",4.02080743104731,1.92687518219915,2.76340964310318,4.02400683502622,3.49561981684544,2.08442861337869,3.27610847325073,2.16390754319883,4.09361291754995,3.89296325690695,3.59849956353506,3.33136568645729,3.78136780478618,3.31862021495648,3.40968025298648,3.22295361120505,4.60147528872334,3.65711431672172,7.49219797206963,7.22184477300075
"GGT1",0.67821181536532,0.663643552901147,2.8265638787511,0.936249221058587,0.466329012790179,0.568672842562885,-0.890327107773219,-0.861389913261526,3.63960024459039,-0.288215172549758,-0.804987714966869,3.57701538332238,-0.499476032290467,-0.341607914973649,2.19544471812371,1.17420929173939,1.67870410631123,-1.08216308784691,2.83329728135207,3.33907455055527
"HMOX1",3.4753009659748,4.88759891916424,4.62474025811722,4.03535022509053,4.33633953803261,6.99555085181618,3.2095998203361,5.2527519342324,2.7371017740907,4.60011361852164,4.34183206912671,3.25434679617843,5.78477948360531,4.14462076662427,4.146985065044,3.670732460182,2.84723189861645,5.0264536075337,6.43056568131788,6.91454054080643
"EIF3J",7.3239025707679,7.23929631634016,6.84953174807783,6.82220003656251,7.19334187696825,6.40072858937627,6.5566347333359,6.18464059861905,7.26221656616084,6.17591285518027,5.69144557956331,6.46671876082426,6.61220617920379,6.56059431232073,6.17064250149631,7.06612404455627,6.35418886347214,6.16967491812237,3.5830460789756,3.58377714716176
"WISP1",-3.15303693422284,-2.06846171274468,-2.6634988831775,-2.27343506194779,-3.32192809488736,-3.22022213503813,-1.16294183953252,-2.5456402828881,-3.32192809488736,-1.39313224684831,-0.800846136995195,-2.38879063677307,-3.32192809488736,-2.27610496049297,0.425073145070517,-0.0678021053529377,-0.302119991341877,-3.18722417995848,3.4414350821758,4.52906612362476
"PLIN3",6.36237274562426,5.64777779684242,5.37101167258244,6.6881150315379,6.10411441397019,6.30362938252722,6.24112985958354,5.89597939911303,6.84253824722731,5.99427508961018,5.86616288454343,6.30928527594733,5.77905926429354,5.29988670834098,6.63857838433327,6.27723065894745,6.23493449824954,6.30151659047304,6.3848957905445,6.51692678445635
"COL1A1",1.02654524202517,1.3829508143002,1.80964475465662,6.29167031311214,-0.600348759963065,-2.57861438203878,-1.94093089045796,-1.09893758801327,4.28066779058932,0.973045203543439,0.10797039360057,-1.28444721858021,-3.00419108514082,-0.717367330886704,1.03789815294881,0.477783766348578,0.467485549447928,-1.62115877098029,4.26673995742701,4.09705755255468
