baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCB8	1281.05595356416	-2.24524931094724e-08	0.093054633955331	-2.41282912576393e-07	0.999999807484089	0.999999999882353
ABCB9	621.035447561942	-4.78004660090319e-08	0.136839341486959	-3.49318152876287e-07	0.999999721284439	0.999999999882353
ABCC1	1596.98357155886	-6.17934117153072e-08	0.171414725393076	-3.60490684645715e-07	0.999999712370048	0.999999999882353
ABCC1.1	1734.53035378285	-8.38170551312399e-08	0.184002093358083	-4.55522291086793e-07	0.999999636545797	0.999999999882353
ABCC10	728.207386010714	-3.19212633273276e-08	0.119950695202728	-2.66119869279437e-07	0.999999787667065	0.999999999882353
ABCC2	715.337094225884	-5.48104512117299e-08	0.146128736743358	-3.75083316486831e-07	0.999999700726813	0.999999999882353
ABCC4	2256.79787727052	-3.17933733339468e-08	0.11287527454599	-2.81668181644095e-07	0.999999775261307	0.999999999882353
ABCC5	1245.4794272155	-2.36523474081371e-08	0.0988621201154468	-2.39245803959261e-07	0.999999809109467	0.999999999882353
ABCD1	550.874428955269	-3.43260472784437e-08	0.120080336971162	-2.85859018589258e-07	0.999999771917503	0.999999999882353
ABCD3	1741.6453356265	-2.66250999545306e-08	0.101563324892654	-2.62152701112058e-07	0.999999790832407	0.999999999882353
ABCD4	846.923703604165	-2.38764962060058e-08	0.0968338973052768	-2.46571674490526e-07	0.999999803264268	0.999999999882353
ABCE1	5040.46592909792	-1.0180509670775e-08	0.0570949232250063	-1.78308492169339e-07	0.999999857730407	0.999999999882353
ABCF1	602.545541871224	-3.61103891116561e-08	0.1246517309372	-2.89690234063807e-07	0.999999768860635	0.999999999882353
ABCF1.1	642.910570424135	-6.66411416170296e-08	0.165447158100817	-4.02794114942857e-07	0.999999678616795	0.999999999882353
ABCF1.2	642.910570424135	-6.66411416170296e-08	0.165447158100817	-4.02794114942857e-07	0.999999678616795	0.999999999882353
ABCF1.3	602.545541871224	-3.61103891116561e-08	0.1246517309372	-2.89690234063807e-07	0.999999768860635	0.999999999882353
ABCF1.4	602.545541871224	-3.61103891116561e-08	0.1246517309372	-2.89690234063807e-07	0.999999768860635	0.999999999882353
ABCF1.5	715.497923099499	-8.09339284499962e-07	0.527409756925012	-1.53455500940805e-06	0.99999877560225	0.999999999882353
ABCF1.6	598.30479201638	-4.55694258682401e-08	0.139994477870383	-3.25508738354892e-07	0.999999740281603	0.999999999882353
ABCF2	944.986921770324	-2.54873158984999e-08	0.102911603432966	-2.47662217362124e-07	0.99999980239414	0.999999999882353
ABCF2.1	3572.42943734627	-1.76649287830812e-08	0.0760642736105281	-2.32236869486599e-07	0.999999814701787	0.999999999882353
ABCF3	1645.50578167321	-1.27231929791588e-08	0.0685852963672262	-1.85509047172954e-07	0.999999851985195	0.999999999882353
ABCG1	140.707793666561	-2.61000347012592e-07	0.429215781997984	-6.08086556830797e-07	0.999999514817125	0.999999999882353
ABCG2	833.426522357573	-5.27747395377616e-08	0.158612431945515	-3.32727636102888e-07	0.999999734521756	0.999999999882353
ABHD10	1186.8179997186	-2.90077177909482e-08	0.102922708342764	-2.81839821920967e-07	0.999999775124357	0.999999999882353
ABHD11	632.916470918316	-5.18861255445226e-08	0.14718689443862	-3.52518651490131e-07	0.999999718730811	0.999999999882353
ABHD12	1538.01216177915	-3.14617001915508e-08	0.105584047333995	-2.97977781549023e-07	0.999999762248129	0.999999999882353
ABHD13	665.86045805269	-3.15321085729673e-08	0.114376699935889	-2.75686469277761e-07	0.999999780034023	0.999999999882353
ABHD14A	321.59839516466	-4.62606809202849e-08	0.145158372556714	-3.18691096527764e-07	0.999999745721294	0.999999999882353
ABHD14B	2810.7005266575	-1.93397928798457e-08	0.0780410527484088	-2.47815632910462e-07	0.999999802271733	0.999999999882353
ABHD15	414.297600835219	-7.82372663221555e-08	0.192593429909297	-4.06230193620841e-07	0.9999996758752	0.999999999882353
ABHD16A	147.589369645913	-4.27903309111876e-07	0.527804551780482	-8.10723036905229e-07	0.999999353136606	0.999999999882353
ABHD16A.1	222.521544347846	-1.38825328000352e-07	0.280652568417553	-4.9465190638772e-07	0.999999605324881	0.999999999882353
ABHD16A.2	222.521544347846	-1.38825328000352e-07	0.280652568417553	-4.9465190638772e-07	0.999999605324881	0.999999999882353
ABHD16A.3	222.521544347846	-1.38825328000352e-07	0.280652568417553	-4.9465190638772e-07	0.999999605324881	0.999999999882353
ABHD16A.4	133.118661569365	-2.79153137911088e-07	0.410322759456386	-6.80325747177474e-07	0.99999945717859	0.999999999882353
ABHD16A.5	116.406601989393	-2.39329570954675e-06	1.07287558999212	-2.23072994844101e-06	0.999998220135015	0.999999999882353
ABHD16A.6	76.8572926266937	-3.53165569233014e-07	0.646752307183495	-5.46060006760539e-07	0.999999564307151	0.999999999882353
ABHD17A	1715.51673417823	-1.71798372912277e-08	0.078833943189284	-2.17924368567714e-07	0.999999826121511	0.999999999882353
ABHD17B	444.655786584436	-8.20689692637533e-08	0.192399416465183	-4.2655518801225e-07	0.999999659658201	0.999999999882353
