"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO"
"RPL26",12.237706635365,12.0684203547478,11.8058474274995,12.2183987097981,11.5927520661181,11.726082375755,10.8751483445161,11.7109292362056,11.7222311083185,11.7307460497575,11.2114158834236,11.7882324893217,11.1650423728762,12.294088447555,11.0493840518346,11.7696089400888,11.0739512470249,11.0601390025455,10.9042435306411
"RPL29",11.4825232048823,10.5544832852796,10.6231168215707,11.4009823975269,10.6862674151784,10.7052196637912,10.4576970178786,10.2107689023017,10.7807069951749,10.403881242147,10.2234517921244,10.9574519939703,10.8539776515026,10.8482650846158,10.1979798977957,11.123096474813,10.7149198687254,10.050643227194,10.0602949174801
"H3F3A",9.09428902531061,8.91584935277187,8.53303916265516,8.69463422905136,8.64378151192796,8.52011759428513,9.10808589349201,8.82767103145176,8.33867416204617,9.51621505389381,8.88266523292026,9.67265404900778,8.5250638262494,8.40248159184163,8.88254703763877,9.31203412181585,9.31698057655145,8.60876245108985,9.79956571070858
"S100A11",9.89578814415148,9.41634129673163,9.20347784589362,10.2439256815373,9.80903286724465,10.1748300587368,9.75198594626626,10.1113589862692,10.3127092615118,10.1051084841886,9.43982014812114,9.22669329474372,8.89689236793889,8.75150038324189,10.5416057102124,9.90927077110346,9.97381117802943,9.72618024334809,10.455817112788
"ATP1A1",8.2932453824458,9.91947263613301,9.79163113750597,8.09819255495903,9.83138660958259,10.4070765923415,10.957334902779,10.6880544026531,8.53705114170685,9.01905164342475,9.95346772365625,10.009262022828,10.2705823114514,9.83538589149339,8.83188660412928,8.06711818721252,8.41008033072694,9.14708198635229,8.97253727443197
"KRTCAP2",8.07198083293002,7.40152740504163,7.08680789908809,7.84467356689267,8.16256214320958,7.97257881135641,7.17364336775203,7.80447155767704,7.28985106351776,8.81410720764157,7.56352134726273,7.3173628717571,8.05006301281644,8.29697315309859,8.47747252375772,7.82693407765078,8.09219267428423,8.68719396097392,8.40898062036096
"ARPC2",8.05720021707087,8.14717596749863,8.21857660380275,8.83586680444607,8.25970317205876,9.18707072137927,8.14416632191801,8.44613033570665,8.78423885247649,8.43684599323518,8.70878283780844,8.46001084292567,8.06513523824318,8.19359958429183,8.27163968249829,8.4955848058279,8.13845284100662,8.5502802418094,8.31988764136746
"CCT3",9.21650177358581,8.93091345304746,8.84218328076057,8.73829291893169,9.07290213376934,8.59130337097093,8.30028913781314,8.47694992232494,8.35556739831368,9.68748523031061,8.0544780329384,7.93471272164195,8.64113145522035,7.99786174022121,8.65492873636405,9.01870085265757,8.58039144245228,9.03334245069532,8.66193374203001
"SSR2",9.96882830190036,8.38099151527995,7.70982372216529,8.85275957320474,8.89676620239813,8.70091597090191,8.67996934921432,8.85199761554147,8.3617960950485,10.0491352537451,9.15446805901889,9.35367852877593,8.77801621243785,8.20807890700759,9.4204027757011,9.00738221559762,10.8960263639176,9.37403521525201,8.1274678136638
"RPN1",7.11202511252529,7.27792631623251,7.23948421520187,7.45195394777086,7.0657208467499,8.28797221318512,8.30945122338154,7.20600467305548,7.68014943712844,8.02061743624174,8.10008078422339,8.04652444057187,8.13589470085526,7.87708468323556,8.08665839611164,7.98310889405844,7.81510926323952,8.19182118638542,8.48993708952426
"TKT",9.69299998416351,8.66912488167119,8.98616943980973,7.91544337842841,9.02159402112595,8.57533626380028,8.99650005219736,9.77506618564786,8.04328398184519,8.45759259243757,9.08864074244444,9.5100867850784,10.1550844658646,9.28861111482026,8.95730112652956,9.93699613398431,9.15016851739627,8.36846640639079,7.82051526839738
"H2AFZ",9.6362110687309,10.3455462564468,10.2604911784451,9.75094086854683,10.541115043143,10.3642565047566,9.36606387295605,11.0148356448027,10.2593313046702,9.72647519684146,10.3631469103173,10.0323463688271,9.97507492776469,10.4934400445641,9.33964804573626,8.257011553996,9.52877224685639,10.2697617960465,10.4262288878249
"ANXA5",8.72224157660673,9.50419033703215,9.49659950106656,8.88441960168701,10.3596109072689,10.7869971754342,10.4567485569482,10.9543400085326,8.92733565288885,10.1902892628234,10.3485385615961,10.7957271360946,9.97926453554946,10.4659165192889,9.80054493028698,9.20246456864463,8.69250763100159,9.87923068634539,8.85085159057982
"UQCRQ",9.1909093959162,8.78334172357174,8.61626203815974,7.78289730576357,8.33188823898248,9.69315176293459,8.28121879420033,7.93261824909697,9.38530872344965,9.426262843982,8.60442030363805,8.72739199455199,9.70309693575747,8.92739262172468,8.6728084495289,9.0357041641068,9.176958425145,8.64676620453649,9.26076360464205
"RPS14",11.5171585198228,11.0085546198719,10.9219500509196,11.5815707031757,10.4664145914789,11.4308307406785,9.71946795758025,10.8587981514693,11.9503798104795,11.1862889855434,10.1974603110408,10.7399756631457,10.5179138644964,11.1190350424552,10.5175890388821,11.4155088571474,10.7353239029732,10.6261190799199,10.6451395041434
"PTTG1",8.17388330242912,8.23210822772955,8.10796137799472,7.89152475286962,8.34483599441965,9.47485844937504,8.35967207011546,8.61392321466444,8.17766212102008,9.38395053936624,8.31121511119342,9.08613488163657,8.20295014244568,8.77725297333835,7.70719574198674,8.47505716112336,8.08254720822292,8.25196734124188,6.41395187977823
"CTSB",7.08419599047901,8.39863320436264,9.33114973138835,8.83083023461617,8.36431214147451,10.3144381992573,10.8074074108934,9.35743205750156,7.89523583213636,7.63012808142577,10.4587691925046,10.8238972401552,9.58306810586726,9.28429613847111,9.60182507816943,9.45189629720904,8.54468122909296,9.1595705490064,8.07902135090142
"COX6C",8.1370828051466,8.16290130016842,8.37768990211595,9.31621021365864,9.28954900463706,8.76663686294654,8.23095008542147,8.95848464052401,8.34940968512645,9.5746223439192,8.07520165226653,7.9055564717759,9.71126956784994,9.24570668692818,8.682137773926,8.64657235093375,7.68664205971475,8.93179010366358,9.34756262394951
"HNRNPK",9.55658609915342,9.19497629797402,9.22333318146469,9.06788294224806,8.50764848675746,9.0687056973722,9.2529613272621,9.10150310571916,9.26419184093471,9.15934771670629,8.9185344491254,9.16035331070963,8.76016100991875,8.61176061390568,9.23068631427554,9.37151315589009,8.98319944752039,9.16998508510165,10.0095170008901
"VCP",8.43808865109791,7.54107109413971,7.5759418512139,8.3769351004654,7.49144413549426,9.22855835949948,8.27812133318361,8.22663855576164,6.80318774718939,8.44185118984642,7.84435368399043,7.84132256951336,7.19644075834634,6.5069584444137,8.4832063648988,7.73288528709306,8.18744902450516,8.25475174318036,8.31393692427829
"RPL36AL",7.54699671815294,8.58475880615317,8.13218465381526,8.43901618842792,7.45126354806679,8.18421681948636,8.08674218939663,8.47695275545147,8.12225497041942,8.12691695598226,8.17194916751925,8.58907629355753,7.72991224773966,7.64032145767642,8.10686767357756,8.02830599524206,8.23988409157529,7.85521616879611,9.68721796785487
"ATP5F1C",7.6500613167332,8.05415418365737,8.12378534140448,7.70057803475349,8.36912182324582,8.54181619754381,7.85414927953693,7.99177654686953,7.89100022286874,7.68783169203172,8.67325613616129,8.87163073109424,8.44470572733696,8.88988620033537,7.6483924546563,6.89320587108967,7.82748716406025,7.85631143703781,8.79909833622294
"RPL27A",11.2603876967373,11.6245570817487,11.065618324818,12.1731410222327,11.178720585243,12.0731614058635,10.6553214327416,11.1700012352077,11.1426009796649,10.8645463976133,10.9230278583605,11.1945659814418,10.8961297952517,11.1423995379643,10.7551657504016,11.3016595884682,11.2234771504561,10.8577253863648,9.11807207306498
"HSP90B1",9.3403138972005,9.2045172033977,9.19545678664582,9.17201210655543,9.31499056705386,10.0752073524994,10.1241224092992,9.35730143824373,8.9607069283616,9.91476500782142,10.0202365007559,10.1187717043782,9.11715480762363,9.62435222811786,10.1343396675957,9.89781281877067,10.5619751829912,9.98961278876786,9.56741561207201
"B2M",10.1802817204572,10.0716500242965,9.5253851944772,10.0443573868116,10.9509503656779,10.2816018850575,10.8623066356203,10.2319817635896,10.8393540666674,10.299711264737,9.68726553679727,11.3473320191923,9.94958937210818,10.0780986253641,11.0034965252641,12.3591869753934,11.0278940781782,11.0955904104849,9.51494010699078
"PPIB",9.60007853938197,9.80969439310505,9.5177453242249,8.92377042400518,10.1135317016621,9.44558365610054,10.1012597789431,9.39511175459443,8.98452826353377,9.78175334127142,9.6726499168696,10.8024452225931,10.3306986829333,9.31788836124456,10.0808538501963,9.79115929370655,10.3086935056138,9.72842834187907,8.8081949290037
"PDIA3",8.63631098066297,9.38580394724696,9.00264921028778,7.98328016288322,9.14189848102744,9.24274337885049,9.41670702487262,9.2314904368056,8.3788672917716,8.2655490021707,8.5336915063524,9.81675961289653,8.3715187788328,8.68322270552976,9.09500682685862,9.69342276707848,9.50133497880428,8.80712950091351,8.70378134886502
"PHB",8.71283562157947,8.80294049670026,9.00124433995703,9.07460531455411,8.83197305120263,8.92800959695633,8.62351997877977,8.92173769897723,8.45599290408786,8.661020917906,9.00146684515044,8.64917170915729,9.23268147847633,9.37606895810844,8.01570223540796,8.37268517667561,8.04196698395965,8.54076474629655,8.28044498717781
"TPM4",8.8301691280446,8.02985005424777,8.52507382289043,10.2219010602108,9.68213365789259,8.88580334687932,8.32959048883595,8.17821865446305,8.9758263367031,8.08304206826157,7.99583679674683,8.70535327180379,8.94081631173822,8.64227488607861,8.85320834078844,9.53284577611214,8.14212735492316,8.44856542797138,7.83528120503896
"GPX4",7.73153973458809,8.75976202286688,9.10816480718866,9.29012122141623,8.25659873547365,8.97429698222712,8.4365111362384,8.74202701106788,8.2363345036473,9.45627478711642,7.63130455700694,8.47515003357553,9.13675051293817,9.42761786468892,8.30773082182313,9.39693887124377,8.29927928668032,8.8885654606382,9.02734449174825
"RPL13",11.8580815682075,11.4758797388297,11.210982278315,11.917177150383,11.6549851304141,11.1227986609208,10.7380813640934,10.1512786124359,11.5946988561061,11.5720034848492,10.5722237420443,11.6155603804744,10.8374153314572,11.230124592446,10.9653817083722,11.2807903611333,11.2428462284212,10.9914151314062,11.1341122929154
"EEF2",10.1081115111293,10.5596877156345,10.5985952032165,11.0846479282361,10.7272825999532,10.0746576446571,9.51749890841173,10.3109727555664,10.2884159963915,9.91039913988918,9.49523638936185,10.7395659283254,10.5983949118309,10.2475111701532,10.1543655690308,10.3738538991881,10.3039422416727,9.7721300250001,10.6201409535305
"ATP5PD",8.31250757869989,8.25785456554247,8.06073916135363,9.11083243685886,9.67242915100671,8.40189964527734,8.21843564467502,8.63409641770184,8.3414168738887,9.29391554411551,8.67453200337301,8.58576029860301,8.50669662775299,8.78786136505828,7.95994148910927,8.87393797750896,7.8844893870429,8.64711017371269,8.90550123491627
"FTH1",11.4697762199521,12.7379048999728,11.9813376276701,11.3753745205501,11.5478945860698,11.3672239330665,11.1370981780003,12.6744149971017,9.98770822864871,12.3642361266526,11.6011114791876,10.925142830953,11.564809897758,11.0853684990227,11.2214971801535,12.6104897548908,11.3818653413314,10.8692236079912,12.0263708143443
"SLC3A2",8.57342951057343,7.40023814450558,7.55668857244026,8.34561412334267,9.91008188239975,8.60331418095391,7.74975349868047,8.22648608156676,8.55148003484385,9.74995603243792,8.19728460736095,7.4903183778619,9.05099290177861,9.1371055765517,8.37449501659737,7.07801277589132,7.28616228219927,7.94674228720381,8.51865383665517
"CTNNB1",7.40041432480619,8.23083855999442,8.60235570568614,6.81667947901553,8.8211994413272,8.08681990824848,7.94208541753568,9.01335360605675,7.3313437474573,8.4800656508925,8.72819512511916,8.14653429397071,9.98608586731171,8.77410509746714,7.81263196834526,7.83330969235776,7.55978513098649,7.7872148802901,9.18353117487462
"SEPT2",7.48230520028778,7.69846579740514,8.03657608521582,8.03364930598568,7.6623483558724,7.88359647258057,8.46640785195584,7.95796675484809,7.98468153807066,6.84562054472127,6.77012342599334,8.50708766785958,8.13833226803618,8.20314711332246,8.56399393039347,8.79397952705506,7.54901253081281,8.4106566485883,5.11576019370954
"NDUFS5",8.81937888857144,9.36109717410142,9.30166996679763,9.16616686398368,8.91325493127145,8.9208960695816,8.67673917801514,8.79202547823208,7.90056975093786,9.50284021455471,8.92796572424264,8.85482464809759,8.74928927926998,8.34828494324392,8.62487372509216,8.16457957328668,8.96304998552146,8.77299228988864,7.72442157526058
"ATP5ME",9.59715366149268,8.71280614714474,9.08806073890006,8.87617036740615,8.70753129129661,9.10128780052318,8.27407199055317,8.62267159152541,8.76462729247679,8.36118580067531,8.73722615185664,8.85028046331291,9.00061081846309,9.1756449633225,8.75117387451116,8.24140766920149,8.57917702367882,8.54765968672866,8.59716430749332
"HNRNPH1",9.13730919799026,8.43666828224721,8.63552677129061,8.69504606319997,8.31179044633017,9.18255943044322,9.05364706464863,9.01102028638177,9.00140459427259,9.75204471994993,8.93523126077379,8.62664515638027,8.30875773881969,8.6712536703724,9.05835064340945,9.79001126976706,8.60433557034859,9.13280351219048,8.2326032479826
"PRELID1",8.7293296055196,8.34834947576932,8.42911017267484,8.36711809640234,8.20086942965579,8.66196078369276,6.95922897936663,7.86315659004135,9.36514743306694,8.52237732942055,7.85916982153775,7.62413006713798,8.44682960575757,8.46019538950992,8.46738716590386,8.17596822248377,9.16006324295459,8.46195381418358,8.86096632288882
"HINT1",9.63025709403361,9.49964205197664,9.1113608616969,9.18523006757189,9.26863083842081,10.383693731998,8.23829283511679,8.25474401023359,9.90279545239393,9.095056613323,9.28396385217829,8.98310834641566,9.72128746673813,9.37326438048132,9.15840935076048,9.20410054607534,8.86721328633041,9.54135545380104,9.93906482834554
"CNBP",8.28095529799782,8.29602742422705,8.35691156334714,8.68964443709413,7.70168979752051,8.79420416724144,8.47894791957309,7.87627856904456,8.95114507082152,8.22425324095948,7.94947835060343,8.08943790327232,9.24088125437186,8.73319807798918,8.04832769779533,8.65571327373622,8.03742213889108,8.26528515118098,9.36811938545473
"HNRNPA3",8.56999176710805,9.2986673502481,9.3301649797918,9.18287851708911,8.94382048961054,9.38879844293307,8.09174098891963,8.53170627716296,9.23934827497018,9.47725071237209,8.76380319927965,8.62309365914918,8.62589702817921,9.04046571424881,8.62260054849038,9.58083623137989,8.78841745408463,8.66678741003357,8.52046138602953
"CRTAP",8.10287224200864,8.31551607451136,8.44297675903963,7.55824156522014,8.8554592101685,8.8407023868409,9.30140579137332,8.73358716343273,7.91605927259795,8.07401543359593,8.73594532213481,9.82049017922439,9.25522586542474,9.01121508714218,8.19349566986563,7.97990339808572,8.17546087853753,8.27279818201307,5.85431994314254
