"gene_id","symbol","DMSO","G007LK","WNT","WNT_G007LK"
"ENSMUSG00000100613","GM5058",0,0,0,0
"ENSMUSG00000100615","GM5511",0.205095628841246,0.090494196303753,0.200851916961418,0.103556108992052
"ENSMUSG00000100617","GM7145",0,0,0,0
"ENSMUSG00000100619","GM8446",0,0,0,0
"ENSMUSG00000100621","GM28374",0.538433649019558,0.00667781967514013,0.367962901748818,0.359200281874319
"ENSMUSG00000100622","GM20379",0.897577356575112,0.625637740180417,0.962486916582584,0.878075497407018
"ENSMUSG00000100623","GM29428",0,0,0,0
"ENSMUSG00000100624","GM28101",0,0,0,0
"ENSMUSG00000100626","H2AL1A",0,0,0,0
"ENSMUSG00000100634","GM28171",0,0,0,0
"ENSMUSG00000100636","GM3551",0.0509515028206231,0.0806897970403593,0,0
"ENSMUSG00000100637","GM20819",0,0,0,0
"ENSMUSG00000100639","SCGB1B6-PS",0,0,0,0
"ENSMUSG00000100640","GM29073",0,0,0,0
"ENSMUSG00000100641","GM28413",0,0,0,0
"ENSMUSG00000100642","GM28230",0.474282528497994,0.437853674686239,0.386519280434031,0.569896060259202
"ENSMUSG00000100643","GM21163",0,0,0,0
"ENSMUSG00000100644","GM20793",0,0,0,0
"ENSMUSG00000100645","GM28576",0,0,0,0
"ENSMUSG00000100646","GM28193",0,0,0,0
"ENSMUSG00000100648","GM28659",0.21711186256017,0.217606603243263,0.199351283536225,0.213226487116159
"ENSMUSG00000100649","GM28428",0,0,0,0
"ENSMUSG00000100652","GM7634",0,0,0,0
"ENSMUSG00000100654","GM4207",0,0,0,0
"ENSMUSG00000100655","GM21462",0,0,0,0
"ENSMUSG00000100656","GM8525",0.0369837608640879,0.0610422703121265,0.0978344233433182,0
"ENSMUSG00000100657","GM28862",0,0,0,0
"ENSMUSG00000100659","GM28636",0,0,0,0
"ENSMUSG00000100660","KAT6B-PS2",0,0,0,0
"ENSMUSG00000100661","GM29471",0,0,0,0
"ENSMUSG00000100662","GM19029",0.11927651718658,0.163041519623312,0.296964248348512,0.08685408234297
"ENSMUSG00000100663","GM29604",0,0,0,0
"ENSMUSG00000100665","MRGPRC1-PS",0,0,0,0
"ENSMUSG00000100667","1700040F15RIK",0,0,0,0
"ENSMUSG00000100669","GM21111",0,0,0,0
"ENSMUSG00000100673","GM29574",0,0,0,0
"ENSMUSG00000100675","GM28607",0,0,0,0
"ENSMUSG00000100676","GM28860",0,0,0,0
"ENSMUSG00000100677","GM21184",0,0,0,0
"ENSMUSG00000100678","GM29251",0,0,0,0
"ENSMUSG00000100679","GM28778",0.298245397788916,0,0.253995673126775,0
"ENSMUSG00000100683","GM28186",0,0,0,0
"ENSMUSG00000100687","GM18357",0,0,0,0
"ENSMUSG00000100689","TAAR7E",0,0,0,0
"ENSMUSG00000100690","GM4322",0.122860681129065,0.109047229119916,0,0.496095736891261
"ENSMUSG00000100692","GM21672",0,0,0,0
"ENSMUSG00000100695","GM28110",0,0,0,0
"ENSMUSG00000100696","GM8419",0.131293435493946,0,0.148714019558825,0
"ENSMUSG00000100697","GM29184",0,0,0,0
"ENSMUSG00000100698","GM20902",0,0,0,0
