"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"C1QBP",9.99614985174544,9.25068148276724,9.23732237699745,8.35902434289512,9.04183633979818,8.63888875880967,8.58289957429719,8.73886796527647,9.07801940894627,8.78658844338257,8.75357451392444,8.90597787791728,8.64298287850839,9.20407804383893,8.15752079429773,7.98117758836865,8.73920774774958,8.24578924692348,7.99096751882179,8.29699750404388,8.01908079601706
"DDX5",9.11048310558062,9.22004277492221,9.1415752568572,8.87703635386272,9.64486699383234,9.28091415404828,9.38678902928243,9.60718566471463,8.92516993723559,10.1952774808525,9.44077621437552,9.06240723783968,9.38938258356246,8.46822716040501,9.39741352440265,9.56854765051688,8.88754773791159,9.7184387525156,9.30153725517467,9.23122203219981,9.24083056855733
"LGALS3BP",8.61819581053555,8.88845976743728,9.10052105847289,2.29647706038765,10.3883128634218,9.87263001090078,10.1412230740155,9.60514784860311,8.99623170950708,8.32512844345192,9.54415827148553,10.5016538921551,9.38776309896959,9.66221619291175,5.69303143759588,10.019174444994,9.08143651398458,9.24438359788513,6.6690235656933,6.39581359230837,6.34169365846919
"VAT1",7.54678109701671,8.84834140588939,8.96679203763832,7.39339867313481,9.47116742587158,9.39642395853373,8.24163935019905,9.22791382099542,7.26353629298108,8.43342195615604,9.65583345929798,9.57340966137195,8.61414155545929,10.1343520815267,6.02055341868853,7.90149008946519,6.7663204999573,8.9905557237792,8.43405278636588,8.53029240227811,8.5969408168384
"PRKAR1A",7.36085387822571,8.29141606830785,8.14278538076856,7.22514647944759,9.51820797942626,8.77423554130827,9.30313899272124,8.50936261859311,6.97651356575526,8.46624143653538,8.96105005279695,9.19008023856527,8.9543520538166,8.90125580548615,8.16149931509879,8.08491666408284,7.84863822676032,8.85390464166252,7.49844061408475,7.39559673102637,7.50580481537585
"YWHAE",8.63293166569516,8.06789471547849,8.05038621004191,8.12649526711082,8.3142181838124,7.87603658966768,8.05527373383108,8.06156867331338,8.26436794026197,8.30695833618128,8.07094819254719,8.05886761545715,7.48490529052088,8.33905635668305,7.83337023661724,7.59067358220599,8.10459404697903,7.48595705520893,9.66835099884206,9.7286072037823,9.7726927113598
"RPL34",10.7335532404565,10.153907716204,10.1090514503086,10.8369933866919,10.4660287692185,9.89442188589311,9.42170309682351,9.54365785526135,10.4495834812584,9.54474889742567,9.80606841554447,10.479459011076,9.71295238336502,9.90741571764389,9.82154212549523,10.2912949112411,10.2667778930554,9.52061954175617,11.0008859909597,11.1426068039118,11.3038484538159
"MTCH2",8.53266496441579,8.35965944045808,7.83040135353988,8.00818610600098,8.4360630140272,7.5837813482007,8.09503924747117,8.35741679057102,8.00561465037383,8.55289921763237,8.50586191129432,8.10421810218551,8.6197233493094,7.88119784036216,7.46737168683096,7.37214691873534,8.28855964363132,7.90433799393653,6.62903637488387,6.72391760684036,6.836887475536
"HSPA8",11.379840905724,10.8961550513397,11.157587237832,11.2796274382555,10.1871127385112,11.2084549777915,10.8262301828235,11.3624072588619,11.2322528998559,11.0252020571531,11.6332757146539,10.6965113810269,10.2926924662713,9.22583182411927,11.1505350945797,11.3914252713891,10.460035758647,11.1445877015927,10.6531618765401,10.6622784664172,10.7586320438312
"EIF4G2",8.03756961251786,8.27821337527869,8.12767783979301,9.2926268639766,8.65349276783607,9.38106083042078,9.31439217038801,8.63338144415702,8.90338739787732,9.31079217613744,8.8209351104952,8.62320306046357,7.90643261280267,7.79047681940903,8.67883473262649,8.59635902713629,9.30451543988404,8.6076933737388,9.10233712574803,9.26895598329422,9.14916611344628
