"","Hs_A375","Hs_FemxI","Hs_FemxV","Hs_LOX","Hs_MeWo","Hs_Skmel28","Hs_WM115","Hs_WM1341","Hs_WM1366","Hs_WM1382","Hs_WM239","Hs_WM266","Hs_WM35","Hs_WM45.1","Hs_WM793","Hs_WM852","Hs_WM9","Hs_WM983","Mm_G007LK_vs_DMSO","Mm_WNT_G007LK_vs_WNT"
"IL4",0,0,0,0,0,0,0,0,0,1.90454023084929,-1.71355023741208,-1.30020496680257,0,0,0,1.63135646605571,0,0,0.464317833055647,-0.327793662226043
"CCL20",1.26531037982542,0.281965789968913,0.236119718489823,0.22601588288778,0.0696418398102852,-0.368560183257658,-0.377489003290632,0.132648500805999,0.501179502139498,-1.14208350403359,0.396705571505022,0.0601333440702581,-0.386084677933841,-0.0174250845035919,1.16592141070711,0.107685381477105,0.571290363621309,-0.176348960588278,-1.45663512588458,0.466589456010483
"IL1B",0.235570809577523,-0.387469553921529,0.63028288428041,0.241940088136208,-0.253450975183968,-0.128905504581772,-0.0145107952104035,-0.527213397645733,0.112470344785895,-0.182026336056099,-0.254431831242893,-0.760832789171457,-0.361215383904701,0.831143663966483,0.120758026363617,0.0610102496497158,0.0353104102255113,0.0601294643839299,0,0
"CCL25",0,0,0,0,0,-1.04313672566756,0,0,0,0,0,0,0,0,0,0,0,0,0.396444430507243,0.142540394781691
"IL6",0.0759484078947981,0.662551505796528,0.41949575759641,0,-0.600525015785929,0.527428428297399,-1.01725716908194,-0.636631688137879,-0.484757387865542,-0.207333564943025,-0.0990828897559107,-0.456230809061308,0.306735087743798,0,-0.462622260499673,-0.206379075314992,0.332691481945785,-0.670381797920043,-0.247703187715703,-1.10500552245473
"IL10",0.403001666621557,-0.256628982730221,-1.0951529078611,-0.627464502367796,0.531587030973398,-0.235646090657147,0.776618971590325,-0.238277037939726,0,-0.775784173856479,0.631714156661857,-0.278550962523749,0.53701528385694,0,1.26877311713325,0.676761612220113,0.47162386388343,0.75656438854953,0.191150749855927,0
"CXCL13",0,0,0,0,0.39474511886286,0,0,0,0,0,0,0,0,0,0,0,-0.316199588923725,0,0,0
"CXCL16",0.457502458604902,-0.150554134644686,-0.297996537840149,0.0836420368346441,0.773094559861401,-0.304108946370684,0.253738138577426,0.262062447027596,0.157427430675231,-0.224446029476041,-0.00051683394528701,-0.0129228087091007,-0.146384682326302,0.0340864341462286,0.241651348116804,-0.365249369711347,0.227974346191275,0.453549474833973,-0.341975336292775,0.184016816648075
"CXCL5",0,0.24727973272734,0,0,0,-0.155641611073964,0.200391786302443,0,0,0.46331520112929,-0.143787678574914,0,0,0,0,0.315890311463509,0.354018711911799,-0.205090232405626,0.800812159384409,0.443789205310669
"CXCL1",-0.10547388843103,-0.596293486246473,-0.0177419554060336,0.140644546476264,-1.2679958193287,-1.14014272951877,0.0874452918194814,0.0619741943714224,-0.666324648699776,-0.404090328348048,-0.313340619912549,-0.141226388357905,-1.27830797779524,-0.403549736431131,-0.0400634397970954,-0.135216975396397,0.111876190751854,-1.02186806116096,0.781172543717262,0.569842183514726
"CSF2",-0.109863534153902,0.456001197294758,-0.596630094812594,-0.108842953295469,0,0,0.671319474910885,-0.0319323153490629,0.869235718029014,0,0.535591574504207,0,0,0,0.944504776598761,-1.41636070447119,-0.877214462616807,0.324237732836102,-0.246109755273273,0.322025352044516
"CXCL10",0,0,0,-0.403416015460455,0,-0.347670299696741,-1.14553586620113,0,0,0,0.301070722848544,0.24851687850027,0,0,0.361698888352804,-0.183807734132313,-0.416476934231515,-0.365585144508679,-0.63278699481348,-0.0406118523356917
"CXCL11",-0.10555381243701,0,-0.279822453646256,-0.163090422918188,0,-0.247526193941637,-0.071247936737532,0,0.434947573728053,0,-0.43119533471409,0.104882970482369,0,0,0.18384087912869,-0.399236711345651,-0.0417599660663703,-0.178791669050598,-0.057674944434738,0.37257661164296
"CCL11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246209510381585,0
"IL16",0.27747181789988,0.150229105504975,-0.125249374984569,-0.208517275965633,-0.064706107355912,-0.106130608315747,-0.049851311822064,-0.118063893238575,-1.63914047579143,0.513730044958159,0.204166128257314,0.110090813910323,0.214270881253856,0.109115973242319,0.470906474347799,1.43951190169875,-0.00109450234061846,0.406608477815843,-0.0378626365207277,0.371419221539136
"CCL19",0,0,0,1.04548264129383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.362341595301376
"TNF",0,0,0,0,0,0,0,-0.0547187310731225,0,0,-0.0337970947496203,0.0375965094726525,0,0,0.395588000021728,-0.00572276096339389,0.280045898666226,0.0561310558967986,-0.540924237252028,-0.00646891259379774
"CCL27",-0.85080739597549,0.423513232522338,-0.0420869459427829,-0.0850558236638644,-0.904918198900323,-0.198818977058185,-0.580892159905749,-0.800571456386384,1.58745544334975,-1.49358062670946,0.391134604360767,0.609126920547307,0,0.819744909383767,-0.0444153677952153,-0.319712330412305,-0.391760928935401,-0.528103954292352,0,0
"CCL5",0.0723694855196126,0.210310926560315,-0.663839629766837,0.14744929404121,0.626361962380037,-0.0878855977993413,0.145003715841642,-0.00697544883466771,-0.45199921281931,0.339609020115398,-0.391658168533098,0.627351720779341,-0.170508615447047,-0.562387178973044,0.182763601056385,-0.0812478469267924,0.358515438938785,-0.218070435314996,0.093330672541598,0.336961052674238
"CCL3",-0.0891434690633888,-0.4625935087248,0,0.182878633041768,0,-0.209271694241124,0.159548930450984,0.658772047484399,0,0.412258498638042,0.189259105090474,0.361600446006208,-0.741847349973194,0,0.594892618367772,0,0.252271980387942,-0.0679818359714999,0.531686533565897,0.397235350484067
"CCL4",0,0,0,0,0,0.327204768999858,0,0,0,0,0,0.119898867415556,0,0,0,0,0,0,-0.274641463204192,0.916874912583499
