"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT_G007LK"
"CSF2",-0.756170497194824,-2.8659268975926,-3.32192809488736,-2.72708059082187,-3.32192809488736,-3.32192809488736,-2.65060861997648,-1.33284185427772,-0.724580761023805,-3.32192809488736,-2.78633652038316,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.3774233182886,-2.22575532865691,-3.32192809488736,-1.85145422276184,-2.33160757866256,-2.57116093274728
"CXCL10",-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.63105879859528,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.69796749932616,-2.68149025223673,-3.32192809488736,-3.32192809488736,0.867819529455571,1.03684013747266,0.680951616678773,-0.15287640856779,3.38237688630048,3.11409065414001
"CXCL11",-3.02504400064482,-3.32192809488736,-3.32192809488736,-2.27486053748603,-3.32192809488736,-2.35249680548096,-2.63183063702825,-3.32192809488736,-2.88698052115931,-3.32192809488736,-3.32192809488736,-1.76605314336301,-3.32192809488736,-3.32192809488736,-0.2081183146312,0.210435186179584,0.13669115773572,-0.783110224885933,-2.65496729555802,-2.41188435314984
"CCL11",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.03166535961933,-3.32192809488736
"IL16",1.24952816934985,5.30751996583143,4.33754782297323,3.46224719141409,5.46653384510426,5.92259721251044,4.56603952131806,4.63072723365933,-0.701435872206332,3.37790203656713,3.52919513648087,3.69811461849811,6.16878764584326,4.63045400570686,4.47904483330144,-0.246461356368137,3.28383911975374,3.65887365772477,-2.33071218895715,-1.99210831884528
"CCL19",-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.27644545359353,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736
"TNF",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.28433158541471,-3.32192809488736,-3.32192809488736,-2.92634009486563,-3.14256542049614,-2.90784637669712,-3.21685915226509,-3.32192809488736,-2.95175862992234
"CCL27",-1.47268888338554,-2.12925177577005,-2.21392383296538,-1.14236457165355,-2.77136155162557,-1.0102177219079,-0.556772691887013,-1.85335289178489,-0.997503620529962,-1.87032897776505,-0.61920975121931,-1.5527480684979,-3.32192809488736,-0.0871492661776437,-0.60031164545453,-0.641251264889432,-1.09660577518402,-2.21851153116802,-3.32192809488736,-3.32192809488736
"CCL5",-1.56703218181898,-0.293444322509074,-1.35580360610163,4.10783112809747,-1.96864555004644,-1.89400550339273,-0.730490163764023,-2.58188557595667,-1.84076794936348,-0.756321155439548,-2.61965360007628,-0.118981556020802,-2.1118524516731,-2.35777292770409,0.606879050023938,3.37709827699076,0.0740807047353693,1.58788739853815,2.8332250546164,2.67242743148909
"CCL3",-3.0769443077162,-3.15092940882305,-3.32192809488736,0.296975723514686,-3.32192809488736,1.47544083401695,0.947774022115705,-2.51127557473889,-3.32192809488736,2.92796058210324,-1.29369218080258,-2.50646630235087,-3.32192809488736,-3.32192809488736,-2.72703547651959,-3.32192809488736,-2.87854979899516,-3.1204343802567,-2.57889576462575,-2.80785566012455
