"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT_G007LK"
"CCND1",6.67592405912371,8.21968751563395,7.82266980246106,6.74001201444458,5.74919186522843,8.7878875514418,7.66820164657366,7.57423819547431,6.75913620434304,9.02399229073773,8.76971859816854,8.39679478893968,6.64502479792782,7.231534067516,9.34530311367901,7.27187487940787,7.16307264144134,6.11296479640301,7.17113246630327,7.12878215665377
"GTF2H1",5.00400143931361,5.64502905067258,5.17796907976428,5.41513776177924,6.01013807180134,6.34059850258171,6.106551321769,5.88938250178257,5.49311644121256,5.55395278372042,5.86376547922952,5.52530106736747,6.33040343954717,5.06231644118777,5.60238353710406,4.67588830182549,5.99229157212715,5.3618566584836,7.03211876633209,7.07408728751242
"NOP2",6.32396357141529,5.76057472044874,5.8265562085728,4.99390421740653,4.68624948371408,5.14503640722354,5.74207205055773,6.15315142288958,6.2441762026289,5.79968482971066,5.63544310094743,4.92115776515942,5.62249520471853,5.47656614704696,5.52032986649015,5.06503413878413,5.48295751001301,4.33997647887486,6.26591526579515,6.26650346936854
"TFEB",0.898049432216272,1.14431448544152,2.67946010776069,0.774068404285636,2.11701495142135,0.139632028134259,0.728688291465878,-0.654657486280168,1.98989570878007,1.88123930215933,1.00602445310999,0.695935181106775,0.829020263963091,3.76987005389597,0.694657706601743,2.12981666061485,2.17234765479964,1.82757849494121,3.85820955356017,4.43357218638355
"TARS",7.88661810695967,6.70484785584229,7.20702687341254,7.84248376910016,7.44716621839325,6.83895900225451,6.04086668589932,7.34668627084551,8.63380264291998,7.52913826436194,6.95471893426298,6.27841130813084,8.11140746572339,7.40459757476438,6.68065067977756,7.04413269747478,7.43870749598784,6.80690817727398,7.08945887778608,7.01076776153167
"RAD50",4.5160730450311,4.8157358462034,4.84773471233878,5.26538818322467,4.10991883446894,4.36359086628741,4.01458704931672,4.01761649141858,4.48735278441992,4.15228974911246,4.58066801568462,3.96651583298861,5.80852136568786,5.37477562386383,4.61237970254339,5.34991835303696,4.13379554718252,3.66522480907973,4.71861857100566,4.82416678128282
"DPYSL3",5.18179561337759,5.49855095466327,5.67879391845616,6.37542766602017,5.12967899340281,3.34744053286335,4.86269841101183,0.22765068462826,4.67781257777883,4.98870570842494,5.06011657359875,5.38311851806673,-1.62309070113108,2.69514894397879,4.36415277019799,5.36771405832334,4.29414716729819,3.4695303189939,4.88629122100242,4.87067006219414
"IL1RL1",2.81148331213896,-1.36102558182182,-1.92043297027856,-1.11702392788392,-1.21961047074264,-0.591106553363788,-2.96646509941325,-1.46265721923859,-1.44904409657753,-1.47314191816857,-2.12376128587697,-2.18181766423301,-1.302732463608,-2.25390517666998,0.433989418035347,-0.987365151311878,-1.92754075717683,-1.89056509992066,3.58924807996559,3.37232268501298
"RND3",4.93302475556383,4.91355628494164,4.54177081644406,5.90546117322386,4.90265639587761,5.96277558054189,7.26498032316971,6.52158496188491,6.11397531725044,6.00510313767795,6.0361390306867,7.20430248033653,4.05566469870013,5.13696900061096,8.23629040926922,7.10105764640208,5.98924890623051,6.16024672100928,2.33521055339184,2.37109753356454
"SRM",7.68718921215557,6.71320435909421,7.08404632259771,6.27208410638111,7.8889519473982,8.10481887153351,7.16493893937232,6.68389261084293,7.29568378834681,7.31332965184076,7.22186565848304,7.62898094188925,6.76926447436479,7.13290836877643,7.07482532288105,6.28162122999793,6.9484377640827,7.39118800063933,7.41140927830778,7.46268104899943
"FBXO2",0.543129033329313,0.978907457501111,1.2374908174837,1.30149659361091,1.27863309057405,3.75802525053208,2.46657042439343,2.50373524803841,-0.338007994364274,-0.110437517803474,2.04337079544196,0.932294564594319,1.95589809560704,1.95047393346155,1.78212484688692,4.82602453881128,0.558519887730905,-1.4306169117722,2.60352884126486,2.3982131184907
"PIK3R3",2.04641155599257,5.03373365986253,5.17241887593063,2.01393379426578,2.41964861227435,6.60372131529091,2.58806749393536,3.99597887370093,1.19326834473199,3.72223285496546,5.20783787133944,4.14988495341013,3.80774225863742,7.00413390498843,2.16854157735915,4.07897814353818,1.95845437575173,4.11802633431587,5.73522893188758,5.63334748271143
"TNFAIP3",1.39149760328829,4.63358611096409,4.60062511569926,3.52617306572475,3.17636538440595,4.12080259369093,3.60131458962289,4.83791203073746,2.23192912778403,1.35623423427686,1.75166917538635,1.59041972042621,4.41047988762575,2.8645013686616,4.54772518386982,4.49781303924715,4.18964989639613,4.75555189232902,1.45713180066048,1.46127071708401
"CTGF",5.38448540790562,2.12407753978094,1.13345518314002,5.97441625261163,3.24666057971034,3.98849281534128,2.11536009006288,-2.46115103952057,7.34840912537007,3.05810900646773,3.15516496749023,1.60719904177145,4.27788485737534,1.80691940362824,8.65595033570302,3.00482461852501,3.68173563446711,3.96344602064877,3.91483530897945,3.8159408124105
