"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT_G007LK"
"SLC20A1",7.16807554947914,6.34510658314011,6.87735176291965,6.63485597529978,6.1924457992491,8.23615243408316,7.88609326318445,5.847656496777,8.15155173752835,5.04549260046475,8.7095897283251,7.6745079710144,7.08681447222889,6.67866450825287,8.719207213402,6.93733135664581,6.45208576731608,7.18134076931574,5.50738111452766,5.4793206473716
"PLIN2",8.32295894097126,5.03622592431703,5.25309572160588,6.6093211769504,4.54492531980236,7.00139375152468,6.47668743998285,5.84122130844274,5.04385806984255,6.61235492838734,5.09012503640017,5.33974103038367,6.32590289739509,5.40802375872915,4.58150352171134,6.95709543279062,6.09768551325608,6.62078521977102,6.76306074013125,6.87092344742746
"GSTO1",7.76421259879092,9.6725906816065,9.56031985818178,8.63790540620104,9.44320125095552,9.80376380472774,7.30248653670759,9.41247460941896,7.77510605747334,8.07204208499894,9.22325495912717,8.41832918166411,9.64588278919763,9.05496241958777,7.22785492026784,6.85970504598059,7.33085006836187,8.50023767673031,7.35676893592877,7.34821451212234
"RGS10",6.04538252151642,8.35495150275475,8.18301172973155,6.99506708945487,7.27943245106626,7.95443064007846,5.47475312997413,7.36001009886686,6.97950641385945,4.77230148246263,6.22650474773228,6.6633067651294,8.06285451404202,9.02457089529149,6.39572784367639,5.08062371084389,5.80523189277698,6.33368455034,4.59444555929535,4.69291140929594
"JPH2",-1.01695610013934,-3.07027981780787,-3.15275699327878,-3.32192809488736,-2.71703701529255,-3.32192809488736,-2.78028198270314,-3.32192809488736,1.59049810067023,-2.91979880349382,-3.09192394330984,-3.23854781378149,-3.09937279467218,-3.2314682032167,-0.971552807923576,-2.53186658519944,-3.32192809488736,-2.56640512491357,1.97297658788246,1.75233453657189
"LATS2",2.43660660900254,3.48460031379527,3.50196101054656,2.54715977937972,3.01904369280351,1.99922019264144,2.63706823456007,3.88781394512083,3.41531090780431,3.01723454729402,2.46047596913563,2.51778543837057,3.69440750826769,2.56378118582763,3.09561869628802,3.11517572095565,3.06026213842133,3.23981653105292,3.77420797850436,3.69875631898137
"CRIM1",5.95066452038139,-0.857156035733467,-2.74406355480245,5.87832166681254,1.29313502243907,0.128856455227002,2.76415325910566,0.448764401942898,6.12390792740746,3.16639025852732,3.09752991355203,1.72810919826376,0.77421442259856,-1.78432197578598,6.05188094732821,5.10703124347223,4.93692097167236,2.97509613583874,3.86099029672943,3.65422038915768
"TMEM251",3.50563193602257,5.44300260349377,5.35869240043431,3.1046977012115,4.52779325975195,5.09430115191423,4.64220822142575,4.73381101857912,3.70427000405651,5.0512106792993,5.11127381966109,4.97909019632738,5.55245032638777,4.31098869409781,2.44320344039369,2.80439043348621,3.67081736131172,4.44582445066809,4.02555252780671,4.13065868949896
"MMP14",5.23790699300715,9.13122368100894,8.53632484891756,7.35050062609545,8.0789212013246,8.41933757339482,9.60600367064977,9.73834198373525,7.52743100628148,8.22546320188557,8.34349269936446,8.96415300568039,8.00921266503682,8.67476726369221,8.75426546793258,6.54895183243719,7.70150474500477,8.04934474361324,6.74685107625551,6.21123504952813
"B4GALT5",5.47276078361024,6.48413713684415,6.41790580297997,5.5712180111286,5.33605439250049,6.18044351503824,6.29190998058119,5.85759883708449,4.78207950973122,5.27410676774057,5.54815494365591,6.44921205906901,5.49069743939104,5.67214567271609,5.43297231420126,7.23171813626847,4.93534326925587,5.77706981435039,4.3689415079359,4.13536996576533
"AGL",2.2965319513582,2.34285312704968,2.44132855809328,2.29091987576064,2.44416963979199,2.0342882519588,1.19037633489527,2.72723194090113,1.96113105304262,2.35998686608242,2.2303293245133,1.68038137126925,2.36859812997765,2.16617343894321,2.10371226081644,2.4233888258982,1.79854212661156,2.15685400970082,4.54227795083486,4.56030284022647
"TGFBR2",4.01756621108157,2.9452558909755,3.05277903677396,6.91814058102215,3.9210748027533,4.01411974953014,6.33657692979783,4.0233541992541,5.35097454149109,4.66593388341844,4.53101753507454,6.13284395786023,4.40381101593482,3.60559335659573,5.56163984101605,6.06884441258341,4.55335645856814,4.09431575864924,3.96399586634006,3.62582522242235
"HPS3",3.36467804081439,5.81781218918209,6.18585210471572,3.95273532195963,5.32267538921165,6.29008142171317,4.05342551547913,4.89965113785008,6.29985281369071,5.71075418687223,3.96311146286316,3.69031931290734,6.22694991454563,5.9097975396795,4.3727409769734,6.10421475841067,4.93707808131611,5.16896040961746,4.79227134377158,5.18140019630302
"CAMLG",5.76504951047553,5.08803288508757,4.88480095125778,5.57391278641173,5.11614650983502,4.97677035211597,3.97316315619431,3.80295487593661,5.46357210370566,4.95438045834594,4.62759316369523,5.2056760741567,6.07355856197184,5.61298276397757,4.4502804694462,5.39807255984094,4.60924342070208,4.28571854016136,4.49812262644354,4.55280457194473
"HEY1",1.24386287198975,5.14711046590678,5.19497547523115,-0.0675233989313929,2.76743843594192,6.11885676959416,5.90622612944407,4.82483999947159,0.675852916118001,2.93695240488966,5.11176314578881,5.53998013008013,6.78182840610465,6.49826004430789,3.79957916502812,6.19854640296941,3.52333625353392,4.43254941797451,-1.54744345730883,-1.60926415821006
"DLC1",4.28895288177663,1.05442022855478,0.634346691569139,5.88364805950264,1.48593446183128,3.77829445883544,3.38406733132522,2.81059978522623,4.59059900351228,4.68825951053156,3.09690479782563,3.40745447289492,4.08351037656741,4.21713747671358,5.56720840955811,3.6383208362729,4.96495961666693,4.33586243799312,2.86488437586978,2.6251951882908
